case_id,scenario,target_rule,variant,expected_case_violation,predicted_case_violation,exact_match_all_12,overall_status,non_compliant_count,compliant_count,human_required_count,insufficient_information_count
EVAL0001,targeted_positive,R01_AMOUNT_LT_3000000,1,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0002,targeted_positive,R01_AMOUNT_LT_3000000,2,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0003,targeted_positive,R01_AMOUNT_LT_3000000,3,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0004,targeted_positive,R01_AMOUNT_LT_3000000,4,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0005,targeted_positive,R01_AMOUNT_LT_3000000,5,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0006,targeted_positive,R02_NO_DUPLICATE_PUBLICATION,1,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0007,targeted_positive,R02_NO_DUPLICATE_PUBLICATION,2,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0008,targeted_positive,R02_NO_DUPLICATE_PUBLICATION,3,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0009,targeted_positive,R02_NO_DUPLICATE_PUBLICATION,4,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0010,targeted_positive,R02_NO_DUPLICATE_PUBLICATION,5,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0011,targeted_positive,R03_NO_AWARD_BEFORE_PUBLICATION,1,1,1,0,NON_COMPLIANT,2,10,0,0
EVAL0012,targeted_positive,R03_NO_AWARD_BEFORE_PUBLICATION,2,1,1,0,NON_COMPLIANT,2,10,0,0
EVAL0013,targeted_positive,R03_NO_AWARD_BEFORE_PUBLICATION,3,1,1,0,NON_COMPLIANT,2,10,0,0
EVAL0014,targeted_positive,R03_NO_AWARD_BEFORE_PUBLICATION,4,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0015,targeted_positive,R03_NO_AWARD_BEFORE_PUBLICATION,5,1,1,0,NON_COMPLIANT,2,10,0,0
EVAL0016,targeted_positive,R04_NO_AWARD_BEFORE_PARTICIPATION,1,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0017,targeted_positive,R04_NO_AWARD_BEFORE_PARTICIPATION,2,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0018,targeted_positive,R04_NO_AWARD_BEFORE_PARTICIPATION,3,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0019,targeted_positive,R04_NO_AWARD_BEFORE_PARTICIPATION,4,1,1,0,NON_COMPLIANT,2,10,0,0
EVAL0020,targeted_positive,R04_NO_AWARD_BEFORE_PARTICIPATION,5,1,1,1,NON_COMPLIANT,1,11,0,0
EVAL0021,targeted_positive,R05_PUBLICATION_AND_PARTICIPATION_REQUIRE_AWARD,1,1,1,1,NON_COMPLIANT,1,2,0,9
EVAL0022,targeted_positive,R05_PUBLICATION_AND_PARTICIPATION_REQUIRE_AWARD,2,1,1,1,NON_COMPLIANT,1,2,0,9
