case_id;event;timestamp;t_type;amount;electronic;framework_agr;nuts;country;cpv_division;cpv;case_len
EVAL0001;PUBLICATION;2024-01-01;W;3200000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0001;PARTICIPATION;2024-01-05;W;3200000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0001;AWARD;2024-01-21;W;3200000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0001;CONTRACT-START;2024-02-05;W;3200000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0001;CONTRACT-END;2024-03-21;W;3200000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0002;PUBLICATION;2024-01-10;S;3250000.0;N;N;ITI31;IT;30;30200000;5
EVAL0002;PARTICIPATION;2024-01-15;S;3250000.0;N;N;ITI31;IT;30;30200000;5
EVAL0002;AWARD;2024-01-31;S;3250000.0;N;N;ITI31;IT;30;30200000;5
EVAL0002;CONTRACT-START;2024-02-15;S;3250000.0;N;N;ITI31;IT;30;30200000;5
EVAL0002;CONTRACT-END;2024-03-31;S;3250000.0;N;N;ITI31;IT;30;30200000;5
EVAL0003;PUBLICATION;2024-01-19;U;3300000.0;Y;N;ITI18;IT;45;45233120;5
EVAL0003;PARTICIPATION;2024-01-25;U;3300000.0;Y;N;ITI18;IT;45;45233120;5
EVAL0003;AWARD;2024-02-10;U;3300000.0;Y;N;ITI18;IT;45;45233120;5
EVAL0003;CONTRACT-START;2024-02-25;U;3300000.0;Y;N;ITI18;IT;45;45233120;5
EVAL0003;CONTRACT-END;2024-04-10;U;3300000.0;Y;N;ITI18;IT;45;45233120;5
EVAL0004;PUBLICATION;2024-01-28;W;3350000.0;N;N;ITI4C;IT;50;50421000;5
EVAL0004;PARTICIPATION;2024-02-04;W;3350000.0;N;N;ITI4C;IT;50;50421000;5
EVAL0004;AWARD;2024-02-20;W;3350000.0;N;N;ITI4C;IT;50;50421000;5
EVAL0004;CONTRACT-START;2024-03-06;W;3350000.0;N;N;ITI4C;IT;50;50421000;5
EVAL0004;CONTRACT-END;2024-04-20;W;3350000.0;N;N;ITI4C;IT;50;50421000;5
EVAL0005;PUBLICATION;2024-02-06;S;3400000.0;Y;Y;ITI43;IT;33;33124110;5
EVAL0005;PARTICIPATION;2024-02-14;S;3400000.0;Y;Y;ITI43;IT;33;33124110;5
EVAL0005;AWARD;2024-03-01;S;3400000.0;Y;Y;ITI43;IT;33;33124110;5
EVAL0005;CONTRACT-START;2024-03-16;S;3400000.0;Y;Y;ITI43;IT;33;33124110;5
EVAL0005;CONTRACT-END;2024-04-30;S;3400000.0;Y;Y;ITI43;IT;33;33124110;5
EVAL0006;PUBLICATION;2024-04-30;U;2300000.0;N;N;ITI11;IT;33;33169100;6
EVAL0006;PARTICIPATION;2024-05-05;U;2300000.0;N;N;ITI11;IT;33;33169100;6
EVAL0006;PUBLICATION;2024-05-07;U;2300000.0;N;N;ITI11;IT;33;33169100;6
EVAL0006;AWARD;2024-05-20;U;2300000.0;N;N;ITI11;IT;33;33169100;6
EVAL0006;CONTRACT-START;2024-06-04;U;2300000.0;N;N;ITI11;IT;33;33169100;6
EVAL0006;CONTRACT-END;2024-07-09;U;2300000.0;N;N;ITI11;IT;33;33169100;6
EVAL0007;PUBLICATION;2024-05-09;W;2307500.0;Y;N;ITI31;IT;30;30200000;6
EVAL0007;PARTICIPATION;2024-05-14;W;2307500.0;Y;N;ITI31;IT;30;30200000;6
EVAL0007;PUBLICATION;2024-05-17;W;2307500.0;Y;N;ITI31;IT;30;30200000;6
EVAL0007;AWARD;2024-05-30;W;2307500.0;Y;N;ITI31;IT;30;30200000;6
EVAL0007;CONTRACT-START;2024-06-14;W;2307500.0;Y;N;ITI31;IT;30;30200000;6
EVAL0007;CONTRACT-END;2024-07-19;W;2307500.0;Y;N;ITI31;IT;30;30200000;6
EVAL0008;PUBLICATION;2024-05-18;S;2315000.0;N;N;ITI18;IT;45;45233120;6
EVAL0008;PARTICIPATION;2024-05-23;S;2315000.0;N;N;ITI18;IT;45;45233120;6
EVAL0008;PUBLICATION;2024-05-27;S;2315000.0;N;N;ITI18;IT;45;45233120;6
EVAL0008;AWARD;2024-06-09;S;2315000.0;N;N;ITI18;IT;45;45233120;6
EVAL0008;CONTRACT-START;2024-06-24;S;2315000.0;N;N;ITI18;IT;45;45233120;6
EVAL0008;CONTRACT-END;2024-07-29;S;2315000.0;N;N;ITI18;IT;45;45233120;6
EVAL0009;PUBLICATION;2024-05-27;U;2322500.0;Y;N;ITI4C;IT;50;50421000;6
EVAL0009;PARTICIPATION;2024-06-01;U;2322500.0;Y;N;ITI4C;IT;50;50421000;6
EVAL0009;PUBLICATION;2024-06-06;U;2322500.0;Y;N;ITI4C;IT;50;50421000;6
EVAL0009;AWARD;2024-06-19;U;2322500.0;Y;N;ITI4C;IT;50;50421000;6
EVAL0009;CONTRACT-START;2024-07-04;U;2322500.0;Y;N;ITI4C;IT;50;50421000;6
EVAL0009;CONTRACT-END;2024-08-08;U;2322500.0;Y;N;ITI4C;IT;50;50421000;6
EVAL0010;PUBLICATION;2024-06-05;W;2330000.0;N;Y;ITI43;IT;33;33124110;6
EVAL0010;PARTICIPATION;2024-06-10;W;2330000.0;N;Y;ITI43;IT;33;33124110;6
EVAL0010;PUBLICATION;2024-06-16;W;2330000.0;N;Y;ITI43;IT;33;33124110;6
EVAL0010;AWARD;2024-06-29;W;2330000.0;N;Y;ITI43;IT;33;33124110;6
EVAL0010;CONTRACT-START;2024-07-14;W;2330000.0;N;Y;ITI43;IT;33;33124110;6
EVAL0010;CONTRACT-END;2024-08-18;W;2330000.0;N;Y;ITI43;IT;33;33124110;6
EVAL0011;PARTICIPATION;2024-08-28;S;2250000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0011;AWARD;2024-08-30;S;2250000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0011;PUBLICATION;2024-09-01;S;2250000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0011;CONTRACT-START;2024-09-17;S;2250000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0011;CONTRACT-END;2024-10-27;S;2250000.0;Y;N;ITI11;IT;33;33169100;5
EVAL0012;PARTICIPATION;2024-09-06;U;2256000.0;N;N;ITI31;IT;30;30200000;5
EVAL0012;AWARD;2024-09-08;U;2256000.0;N;N;ITI31;IT;30;30200000;5
EVAL0012;PUBLICATION;2024-09-11;U;2256000.0;N;N;ITI31;IT;30;30200000;5
EVAL0012;CONTRACT-START;2024-09-27;U;2256000.0;N;N;ITI31;IT;30;30200000;5
EVAL0012;CONTRACT-END;2024-11-06;U;2256000.0;N;N;ITI31;IT;30;30200000;5
EVAL0013;PARTICIPATION;2024-09-15;W;2262000.0;Y;N;ITI18;IT;45;45233120;5
EVAL0013;AWARD;2024-09-17;W;2262000.0;Y;N;ITI18;IT;45;45233120;5
