regulation_id,verdict,compliance_status
Regulation (EU) 2016/679,YES,HUMAN_REQUIRED
GDPR Article 1,YES,INSUFFICIENT_INFORMATION
GDPR Article 2,YES,INSUFFICIENT_INFORMATION
GDPR Article 3,YES,INSUFFICIENT_INFORMATION
GDPR Article 4,YES,INSUFFICIENT_INFORMATION
GDPR Article 5,YES,INSUFFICIENT_INFORMATION
GDPR Article 6,YES,INSUFFICIENT_INFORMATION
GDPR Article 7,YES,HUMAN_REQUIRED
GDPR Article 8,YES,INSUFFICIENT_INFORMATION
GDPR Article 9,YES,INSUFFICIENT_INFORMATION
Regulation (EU) 2016/679,YES,HUMAN_REQUIRED
GDPR Article 1,YES,INSUFFICIENT_INFORMATION
GDPR Article 2,YES,INSUFFICIENT_INFORMATION
GDPR Article 3,YES,HUMAN_REQUIRED
GDPR Article 4,YES,INSUFFICIENT_INFORMATION
GDPR Article 5,YES,HUMAN_REQUIRED
GDPR Article 6,YES,HUMAN_REQUIRED
GDPR Article 7,YES,INSUFFICIENT_INFORMATION
GDPR Article 8,NO,NON_COMPLIANT
GDPR Article 9,YES,INSUFFICIENT_INFORMATION
Regulation (EU) 2016/679,YES,HUMAN_REQUIRED
GDPR Article 1,YES,COMPLIANT
GDPR Article 2,YES,INSUFFICIENT_INFORMATION
GDPR Article 3,NO,NON_COMPLIANT
GDPR Article 4,YES,INSUFFICIENT_INFORMATION
GDPR Article 5,NO,NON_COMPLIANT
GDPR Article 6,YES,INSUFFICIENT_INFORMATION
GDPR Article 7,YES,INSUFFICIENT_INFORMATION
GDPR Article 8,YES,COMPLIANT
GDPR Article 9,YES,INSUFFICIENT_INFORMATION
